Year,Rank,"Pos
Rank",,Player,,,,,,,,
2016,33,17,3.9,"Lasco, Daniel (NOS, RB, Age: 24)® (R33)",189,189,189,189,189 (1),"May: 212.50, Jun: 199.50, Jul: 201.00, Aug: 189.00, Sep: 218.00, Oct: 215.00, Nov: 230.00 ( 15 )",,
2016,34,13,3.1,"Braverman, Daniel (CHI, WR, Age: 23)® (R34)",189,189,189,189,189 (1),"Feb: 190.25, Apr: 233.00, May: 218.29, Jun: 223.50, Jul: 199.40, Aug: 189.00, Sep: 222.00",,
2016,35,14,3.11,"Thomas, Mike (RAM, WR, Age: 22)® (R35)",193.5,193.5,181,206,"181, 206 (2)","Feb: 126.33, Mar: 121.50, Apr: 154.60, May: 151.57, Jun: 159.33, Jul: 153.00, Aug: 193.50, Sep: 190.00, Oct: 219.00, Nov: 217.67",,
2016,36,3,3.12,"Lynch, Paxton (DEN, QB, Age: 22)® (R36)",198,198,198,198,198 (1),"Feb: 228.60, Mar: 192.00, May: 192.43, Jun: 168.50, Jul: 190.17, Aug: 198.00, Sep: 180.00, Oct: 150.83, Nov: 205.50 ( 55 )",,
2016,37,15,4.1,"Robinson, Demarcus (KCC, WR)® (R37)",203,203,203,203,203 (1),"May: 218.60, Jun: 166.00, Jul: 170.00, Aug: 203.00",,
2016,38,16,4.2,"Moore, Chris (BAL, WR, Age: 23)® (R38)",209,209,209,209,209 (1),"May: 182.60, Jun: 202.50, Jul: 205.20, Aug: 209.00, Sep: 222.67, Oct: 218.50",,
2016,39,17,4.3,"Higgins, Rashard (CLE, WR, Age: 22)® (R39)",210,210,210,210,210 (1),"Feb: 113.44, Mar: 130.00, Apr: 160.60, May: 174.71, Jun: 171.17, Jul: 161.67, Aug: 210.00, Sep: 194.67, Oct: 217.00",,
2017,1,1,1.1,"Fournette, Leonard (JAC, RB)® (R1)",21.83,22.25,14,28,"14, 16, 22, 24, 27, 28 (6)","Feb: 25.33, Mar: 21.50, Apr: 24.17, May: 21.33, Jun: 18.90, Jul: 23.17, Aug: 21.83, Sep: 22.83, Oct: 22.00, Nov: 14.50",,
2017,2,1,1.2,"Davis, Corey (TEN, WR)® (R2)",23.83,23,18,33,"18, 18, 22, 23, 29, 33 (6)","Feb: 30.00, Mar: 30.50, Apr: 27.83, May: 23.67, Jun: 21.60, Jul: 22.17, Aug: 23.83, Sep: 22.50, Oct: 24.00, Nov: 23.00",,
2017,3,2,1.3,"McCaffrey, Christian (CAR, RB)® (R3)",26.5,26,21,34,"21, 24, 24, 26, 30, 34 (6)","Feb: 64.33, Mar: 45.50, Apr: 36.33, May: 30.50, Jun: 30.90, Jul: 30.00, Aug: 26.50, Sep: 26.00, Oct: 29.25, Nov: 28.75",,
