Year,Rank,"Pos
Rank",Draft_Rank,Player,Round,Pick,Tm,Draft Year,Pos,Age,To,All_Pro,Pro_Bowl,Starter_years,Games_Played,Passing_Comp,Pass_att,Pass_yards,Pass_TD,Pass_Int,Rush_att,Rush_yards,Rush_TD,Rec_rec,Rec_yards,Rec_TD,College/Univ,Total Fantasy Points,Fantasy Points Per Game
2016,16,9,2.04,Malcolm Mitchell,4.0,112.0,NWE,2016.0,WR,24.0,2016.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,401.0,4.0,Georgia,80.1,5.721428571428571
2016,17,8,2.05,Wendell Smallwood,5.0,153.0,PHI,2016.0,RB,22.0,2021.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,238.0,956.0,5.0,60.0,474.0,2.0,West Virginia,215.00000000000003,3.839285714285715
2016,18,9,2.06,Jordan Howard,5.0,150.0,CHI,2016.0,RB,21.0,2022.0,0.0,1.0,3.0,73.0,0.0,0.0,0.0,0.0,0.0,1019.0,4362.0,37.0,85.0,653.0,2.0,Indiana,778.0,10.657534246575343
2016,19,10,2.07,Josh Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20,11,2.08,Jonathan Williams,5.0,156.0,BUF,2016.0,RB,22.0,2023.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,135.0,563.0,3.0,22.0,149.0,0.0,Arkansas,100.20000000000002,2.131914893617022
2016,21,10,2.09,Tajae Sharpe,5.0,140.0,TEN,2016.0,WR,21.0,2021.0,0.0,0.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,117.0,1397.0,8.0,Massachusetts,247.90000000000003,3.7560606060606068
2016,22,11,2.1,Braxton Miller,3.0,85.0,HOU,2016.0,WR,23.0,2017.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,34.0,261.0,2.0,Ohio St.,55.2,2.6285714285714286
2016,23,1,2.11,Hunter Henry,2.0,35.0,SDG,2016.0,TE,21.0,2023.0,0.0,0.0,5.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,3853.0,38.0,Arkansas,777.8,7.551456310679611
2016,24,12,2.12,Pharoh Cooper,4.0,117.0,LAR,2016.0,WR,21.0,2022.0,1.0,1.0,0.0,75.0,0.0,1.0,0.0,0.0,1.0,7.0,26.0,0.0,61.0,545.0,1.0,South Carolina,91.6,1.2213333333333332
2016,25,12,3.01,Kenyan Drake,3.0,73.0,MIA,2016.0,RB,22.0,2023.0,0.0,0.0,2.0,104.0,0.0,0.0,0.0,0.0,0.0,869.0,3866.0,33.0,218.0,1655.0,8.0,Alabama,907.1,8.722115384615385
