Draft_Rank,Total Fantasy Points,Predicted Fantasy Points
3.06,242.1,403.96867819924086
3.07,1134.5000000000002,403.0267354536524
3.09,50.5,401.14284996247545
3.1,4.1,400.20090721688695
3.11,0.5,399.2589644712985
3.12,19.4,398.31702172571005
1.01,358.1,597.0669410448771
1.02,285.8,596.1249982992886
1.03,373.9,595.1830555537001
1.04,103.5,594.2411128081117
1.05,345.9,593.2991700625232
1.06,350.0,592.3572273169348
1.07,82.9,591.4152845713463
1.08,81.60000000000001,590.4733418257578
1.09,315.8,589.5313990801693
1.1,311.9,588.5894563345809
1.11,211.4,587.6475135889924
1.12,230.9,586.705570843404
2.01,225.6,502.8726664860302
2.02,360.0,501.93072374044164
2.03,22.9,500.9887809948532
2.04,52.0,500.04683824926474
2.05,276.0,499.1048955036763
2.06,143.3,498.1629527580878
2.07,75.1,497.22101001249933
2.08,171.2,496.27906726691083
2.1,75.39999999999999,494.39518177573393
2.11,227.5,493.4532390301455
2.12,188.0,492.511296284557
3.01,12.0,408.6783919271832
3.03,76.0,406.79450643600626
3.05,120.7,404.91062094482936
3.06,24.200000000000003,403.96867819924086
3.07,552.5000000000001,403.0267354536524
3.08,49.4,402.0847927080639
3.09,159.4,401.14284996247545
3.1,20.5,400.20090721688695
3.11,73.6,399.2589644712985
3.12,2.4,398.31702172571005
4.01,28.1,314.4841173683363
4.02,98.0,313.54217462274784
4.04,267.0,311.6582891315708
4.05,190.4,310.7163463859824
4.06,470.0,309.7744036403939
4.09,61.7,306.9485754036285
4.01,37.400000000000006,314.4841173683363
4.11,566.1999999999999,305.0646899124515
5.01,8.9,220.28984280948936
5.02,10.2,219.3479000639009
5.03,165.10000000000002,218.40595731831235
5.04,92.5,217.4640145727239
5.05,7.2,216.52207182713545
5.07,165.60000000000002,214.6381863359585
1.01,223.3,597.0669410448771
1.02,218.1,596.1249982992886
1.03,118.3,595.1830555537001
1.04,186.3,594.2411128081117
1.05,75.0,593.2991700625232
1.06,165.9,592.3572273169348
1.07,89.60000000000001,591.4152845713463
1.08,115.8,590.4733418257578
1.1,111.3,588.5894563345809
1.11,38.3,587.6475135889924
1.12,192.3,586.705570843404
2.01,26.300000000000004,502.8726664860302
2.02,85.10000000000001,501.93072374044164
2.03,63.3,500.9887809948532
2.04,175.0,500.04683824926474
2.05,359.0,499.1048955036763
2.06,127.8,498.1629527580878
2.07,55.900000000000006,497.22101001249933
2.08,57.7,496.27906726691083
2.09,183.2,495.3371245213224
2.1,123.1,494.39518177573393
2.11,574.0,493.4532390301455
2.12,48.8,492.511296284557
